"","ImageNumber","Count_Nuclei","FileName_Dna","FileName_Overlay","ImageQuality_PowerLogLogSlope_Dna","Mean_Nuclei_AreaShape_Area","Mean_Nuclei_Intensity_IntegratedIntensity_Dna","Mean_Nuclei_Intensity_MaxIntensity_Dna","Mean_Nuclei_Intensity_MeanIntensity_Dna","Metadata_gene","Metadata_plate","Metadata_posNum","Metadata_siRNA","Metadata_timeNum","Metadata_wellNum","PathName_Dna","PathName_Overlay","Metadata_gene_siRNA","Metadata_batch_treatment"
"72",72,52,"EMBO_2012_Group3--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.png.jpg",-0.849263706,491.9807692,10.23792577,0.051883606,0.021653778,"KIF11","EMBO_2012_Group3",1,"s7903",90,14,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00014--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group3__KIF11"
"73",73,83,"EMBO_2012_Group3--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.png.jpg",-1.227223579,545.3253012,10.13108591,0.037008826,0.019665993,"XWNeg9","EMBO_2012_Group3",1,"s444246",90,9,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00009--s444246--XWNeg9/P00001--s444246--XWNeg9","/g/EMBO_HTM_2012--cp/images","XWNeg9_s444246","EMBO_2012_Group3__XWNeg9"
"74",74,140,"EMBO_2012_Group3--empty--empty--W0010--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0010--P001--T00090--Z000--C01.ome.png.jpg",-1.116130368,582.0142857,10.16591468,0.035160817,0.017674889,"empty","EMBO_2012_Group3",1,"empty",90,10,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00010--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"75",75,74,"EMBO_2012_Group3--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.png.jpg",-0.801250424,402.9594595,9.313120953,0.051331346,0.022949904,"KIF11","EMBO_2012_Group3",1,"s7903",90,11,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00011--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group3__KIF11"
"76",76,101,"EMBO_2012_Group3--empty--empty--W0012--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0012--P001--T00090--Z000--C01.ome.png.jpg",-1.054803318,524.6831683,10.15118358,0.043045398,0.019048508,"empty","EMBO_2012_Group3",1,"empty",90,12,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00012--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"77",77,186,"EMBO_2012_Group2--empty--empty--W0072--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0072--P001--T00090--Z000--C01.ome.png.jpg",-1.398780437,695.4301075,6.42270329,0.015640665,0.008937797,"empty","EMBO_2012_Group2",1,"empty",90,72,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00072--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"78",78,264,"EMBO_2012_Group2--empty--empty--W0070--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0070--P001--T00090--Z000--C01.ome.png.jpg",-1.361328918,576.6325758,5.274479815,0.012979781,0.008952744,"empty","EMBO_2012_Group2",1,"empty",90,70,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00070--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"79",79,366,"EMBO_2012_Group2--empty--empty--W0069--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0069--P001--T00090--Z000--C01.ome.png.jpg",-1.269959075,533.1065574,4.975141155,0.012884147,0.008770538,"empty","EMBO_2012_Group2",1,"empty",90,69,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00069--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"80",80,189,"EMBO_2012_Group2--s7424--INCENP--W0071--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s7424--INCENP--W0071--P001--T00090--Z000--C01.ome.png.jpg",-1.185869446,678.9153439,6.339758995,0.015939465,0.008991938,"INCENP","EMBO_2012_Group2",1,"s7424",90,71,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00071--s7424--INCENP/P00001--s7424--INCENP","/g/EMBO_HTM_2012--cp/images","INCENP_s7424","EMBO_2012_Group2__INCENP"
"81",81,215,"EMBO_2012_Group3--empty--empty--W0030--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0030--P001--T00090--Z000--C01.ome.png.jpg",-1.351732459,554.9348837,8.009027375,0.022543113,0.014038146,"empty","EMBO_2012_Group3",1,"empty",90,30,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00030--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
